"ID","POSTDATE","COMPANY","floorplans__ID","floorplans__NAME","floorplans__SQFTMIN","floorplans__SQFTMAX","unittypes__ID","unittypes__utpricing__LT","unittypes__utpricing__STARTDATE","unittypes__utpricing__ENDDATE","unittypes__utpricing__BASERENT","unittypes__utpricing__CONCESSION","unittypes__utpricing__EFFRENT","unittypes__utpricing__CONTYPE","unittypes__utpricing__CONVALUE","units__ID","units__AVAILDATE","units__STATUS","units__UNITTYPE","units__UNITCAT","units__AMENITYVALUE","units__FLOORPLANID","units__amenity__ID","units__amenity__DESCRIPTION","units__amenity__VALUE","units__offeredterm__LT","units__offeredterm__BASERENT","units__offeredterm__TOTALCONCESSION","units__offeredterm__EFFECTIVERENT","units__offeredterm__CONTYPE","units__offeredterm__CONVALUE","units__offeredterm__STARTDATE","units__offeredterm__ENDDATE","units__offeredterm__PVENDDATE"
"151NO","20170821","Madera","1311","203-a1 | 1 | 1.00","624","624","1311","2","20170821","20170827","1090.00","0.00","1090.00","T","0.00","0102","20170825","Vacant Unavailable","1312","2x2","75.00","1312","94","Madera Upgrade","75.0000","2","1220.00","0.00","1220.00","T","0.00","20170825","20170901","20170901"
"","","","1312","203-b1 | 2 | 2.00","878","878","","2","20170828","20170903","905.00","0.00","905.00","T","0.00","","","","","","","","","","","3","1155.00","0.00","1155.00","T","0.00","20170825","20170901","20170901"
"","","","1313","203-e1 | 1 | 1.00","370","370","","2","20170904","20170910","905.00","0.00","905.00","T","0.00","","","","","","","","","","","4","1145.00","0.00","1145.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20170911","20170917","905.00","0.00","905.00","T","0.00","","","","","","","","","","","5","1360.00","0.00","1360.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20170918","20170924","905.00","0.00","905.00","T","0.00","","","","","","","","","","","6","1125.00","0.00","1125.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20170925","20171001","895.00","0.00","895.00","T","0.00","","","","","","","","","","","7","895.00","0.00","895.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20171002","20171008","895.00","0.00","895.00","T","0.00","","","","","","","","","","","8","960.00","0.00","960.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20171009","20171015","895.00","0.00","895.00","T","0.00","","","","","","","","","","","9","885.00","0.00","885.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20171016","20171022","895.00","0.00","895.00","T","0.00","","","","","","","","","","","10","890.00","0.00","890.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20171023","20171029","895.00","0.00","895.00","T","0.00","","","","","","","","","","","11","885.00","0.00","885.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20171030","20171105","900.00","0.00","900.00","T","0.00","","","","","","","","","","","12","1050.00","0.00","1050.00","T","0.00","20170825","20170901","20170901"
"","","","","","","","","2","20171106","20171112","1055.00","0.00","1055.00","T","0.00","0112","20170523","Vacant Ready","1312","2x2","75.00","1312","94","Madera Upgrade","75.0000","2","1220.00","0.00","1220.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","2","20171113","20171119","1055.00","0.00","1055.00","T","0.00","","","","","","","","","","","3","1155.00","0.00","1155.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","2","20171120","20171126","1055.00","0.00","1055.00","T","0.00","","","","","","","","","","","4","1145.00","0.00","1145.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","2","20171127","20171203","1060.00","0.00","1060.00","T","0.00","","","","","","","","","","","5","1360.00","0.00","1360.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","2","20171204","20171210","1060.00","0.00","1060.00","T","0.00","","","","","","","","","","","6","1125.00","0.00","1125.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","2","20171211","20171217","1060.00","0.00","1060.00","T","0.00","","","","","","","","","","","7","895.00","0.00","895.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20170821","20170827","850.00","0.00","850.00","T","0.00","","","","","","","","","","","8","960.00","0.00","960.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20170828","20170903","850.00","0.00","850.00","T","0.00","","","","","","","","","","","9","885.00","0.00","885.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20170904","20170910","850.00","0.00","850.00","T","0.00","","","","","","","","","","","10","890.00","0.00","890.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20170911","20170917","850.00","0.00","850.00","T","0.00","","","","","","","","","","","11","885.00","0.00","885.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20170918","20170924","850.00","0.00","850.00","T","0.00","","","","","","","","","","","12","1050.00","0.00","1050.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20170925","20171001","835.00","0.00","835.00","T","0.00","0114","20170626","Vacant Ready","1312","2x2","75.00","1312","94","Madera Upgrade","75.0000","2","1220.00","0.00","1220.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171002","20171008","835.00","0.00","835.00","T","0.00","","","","","","","","","","","3","1155.00","0.00","1155.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171009","20171015","835.00","0.00","835.00","T","0.00","","","","","","","","","","","4","1145.00","0.00","1145.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171016","20171022","835.00","0.00","835.00","T","0.00","","","","","","","","","","","5","1360.00","0.00","1360.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171023","20171029","835.00","0.00","835.00","T","0.00","","","","","","","","","","","6","1125.00","0.00","1125.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171030","20171105","845.00","0.00","845.00","T","0.00","","","","","","","","","","","7","895.00","0.00","895.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171106","20171112","995.00","0.00","995.00","T","0.00","","","","","","","","","","","8","960.00","0.00","960.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171113","20171119","995.00","0.00","995.00","T","0.00","","","","","","","","","","","9","885.00","0.00","885.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171120","20171126","995.00","0.00","995.00","T","0.00","","","","","","","","","","","10","890.00","0.00","890.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171127","20171203","1295.00","0.00","1295.00","T","0.00","","","","","","","","","","","11","885.00","0.00","885.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171204","20171210","1295.00","0.00","1295.00","T","0.00","","","","","","","","","","","12","1050.00","0.00","1050.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","3","20171211","20171217","1295.00","0.00","1295.00","T","0.00","0202","20170811","Vacant Ready","1311","1x1","75.00","1311","94","Madera Upgrade","75.0000","2","1165.00","0.00","1165.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20170821","20170827","840.00","0.00","840.00","T","0.00","","","","","","","","","","","3","925.00","0.00","925.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20170828","20170903","835.00","0.00","835.00","T","0.00","","","","","","","","","","","4","915.00","0.00","915.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20170904","20170910","835.00","0.00","835.00","T","0.00","","","","","","","","","","","5","860.00","0.00","860.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20170911","20170917","835.00","0.00","835.00","T","0.00","","","","","","","","","","","6","830.00","0.00","830.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20170918","20170924","835.00","0.00","835.00","T","0.00","","","","","","","","","","","7","1045.00","0.00","1045.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20170925","20171001","825.00","0.00","825.00","T","0.00","","","","","","","","","","","8","820.00","0.00","820.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20171002","20171008","825.00","0.00","825.00","T","0.00","","","","","","","","","","","9","810.00","0.00","810.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20171009","20171015","825.00","0.00","825.00","T","0.00","","","","","","","","","","","10","730.00","0.00","730.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20171016","20171022","825.00","0.00","825.00","T","0.00","","","","","","","","","","","11","895.00","0.00","895.00","T","0.00","20170821","20170828","20170828"
"","","","","","","","","4","20171023","20171029","825.00","0.00","825.00","T","0.00","","","","","","","","","","","12","720.00","0.00","720.00","T","0.00","20170821","20170828","20170828"
